name,red,green,blue,alpha,id
wall,120,120,120,255,1
building,180,120,120,255,2
sky,6,230,230,255,3
floor,80,50,50,255,4
tree,4,200,3,255,5
ceiling,120,120,80,255,6
road,140,140,140,255,7
bed,204,5,255,255,8
windowpane,230,230,230,255,9
grass,4,250,7,255,10
cabinet,224,5,255,255,11
sidewalk,235,255,7,255,12
person,150,5,61,255,20
earth,120,120,70,255,14
door,8,255,51,255,15
table,255,6,82,255,16
stairs,255,224,0,255,17
plant,204,255,4,255,18
curtain,255,51,7,255,19
chair,204,70,3,255,13
sofa,11,102,255,255,0
armchair,8,255,214,255,13
